date,AAPL,FB
2017-01-03,114.71537780152,116.86
2017-01-04,114.58698349145,118.69
2017-01-05,115.16969612944,120.67
2017-01-06,116.45363923011,123.41
2017-01-09,117.5202996522,124.9
2017-01-10,117.63881747687,124.35
2017-01-11,118.27091254181,126.09
2017-01-12,117.77708827233,126.62
2017-01-13,117.56968207915,128.34
2017-01-17,118.51782467656,127.87
2017-01-18,118.50794819117,127.92
2017-01-19,118.30054199798,127.55
2017-01-20,118.51782467656,127.04
2017-01-23,118.59683655968,128.93
2017-01-24,118.48819522039,129.37
2017-01-25,120.37460392982,131.48
2017-01-26,120.43386284216,132.78
2017-01-27,120.44373932755,132.18
2017-01-30,120.12769179508,130.98
2017-01-31,119.85115020417,130.32
2017-02-01,127.15974939256,133.23
2017-02-02,126.94246671398,130.84
2017-02-03,127.48567341042,130.98
2017-02-06,128.68072814257,132.06
2017-02-07,129.9054123309,131.84
2017-02-08,130.40911308577,134.2
2017-02-09,131.34737919779,134.14
2017-02-10,131.04980924039,134.19
2017-02-13,132.21033207426,134.05
2017-02-14,133.92631882862,133.85
2017-02-15,134.41234975905,133.44
2017-02-16,134.24868628248,133.84
2017-02-17,134.62064872923,133.53
2017-02-21,135.59271059008,133.72
2017-02-22,135.99938953187,136.12
2017-02-23,135.42408761422,135.36
2017-02-24,135.55303459576,135.44
2017-02-27,135.82084755742,136.41
2017-02-28,135.8803615489,135.54
2017-03-01,138.65768115133,137.42
2017-03-02,137.83440426919,136.76
2017-03-03,138.64776215275,137.17
2017-03-06,138.21132621523,137.42
2017-03-07,138.38986818967,137.3
2017-03-08,137.87408026351,137.72
2017-03-09,137.55667230894,138.24
2017-03-10,138.01294624363,138.79
2017-03-13,138.07246023511,139.6
2017-03-14,137.86416126493,139.32
2017-03-15,139.3222540562,139.72
2017-03-16,139.55039102354,139.99
2017-03-17,138.85606112294,139.84
2017-03-20,140.31415391421,139.94
2017-03-21,138.70727614424,138.51
2017-03-22,140.27447791989,139.59
2017-03-23,139.77852799089,139.53
2017-03-24,139.50079603064,140.34
2017-03-27,139.73885199657,140.32
2017-03-28,142.63519958196,141.76
2017-03-29,142.95260753652,142.65
2017-03-30,142.7641465635,142.41
2017-03-31,142.49633360184,142.05
2017-04-03,142.53600959616,142.28
2017-04-04,143.59734244423,141.73
2017-04-05,142.85341755072,141.85
2017-04-06,142.49633360184,141.17
2017-04-07,142.17892564727,140.78
2017-04-10,142.01030267141,141.04
2017-04-11,140.48277689007,139.92
2017-04-12,140.65139986594,139.58
2017-04-13,139.90747497243,139.39
2017-04-17,140.68115686168,141.42
